Link,Description,ASIN,Product Description,Manufacturer
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjk0MTgzNjI4MDExNTk2OjE2ODUwMjI2NjM6c3BfYXRmOjIwMTE3Nzk1ODcxNjk4OjowOjo&url=%2FMokobara-Transit-Backpack-Laptop-Sunray%2Fdp%2FB09V7R98XC%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685022663%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"['Care Instructions: Wipe with Damp Cloth', 'CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Vegan leather and nylon fabric, Casing: Soft, Colour: Light Brown, Water resistant: Yes', 'MOST FEATURE RICH BACKPACK: Front bucket pocket: Retractable key holder, Card holder, Slip pockets, Zippered pocket, Flat opening tech compartment: 5 pockets to store all your tech accessories, Padded laptop compartment with lock strap, Fits up to a 16� laptop', 'INDUSTRY BEST FUNCTIONAL BACKPACK: 2 Hidden bottle/umbrella pocket, Hidden magnetic passport pocket, 10 thoughtfully designed pockets, Luggage sleeve, Silicon grab handle, Padded shoulder straps, Easy length adjustment buckles', 'MAXED OUT STORAGE: Dimension: 48 x 31 x 16 cm, Capacity: 24L', 'MORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Register warranty on (mokobara.com/warranty), get in touch with us @7975298840 (10:30AM - 5:30PM MON-FRI)']",B09V7R98XC,"['Product Dimensions :', '15.98 x 30.99 x 47.98 cm; 1.56 Kilograms', 'Date First Available :', '10 March 2022', 'Manufacturer :', 'Designed By Mokobara Lifestyle Private Limited, Bangalore.', 'ASIN :', 'B09V7R98XC', 'Item model number :', 'Transit_PC', 'Country of Origin :', 'China', 'Department :', 'unisex-adult', 'Manufacturer :', 'Designed By Mokobara Lifestyle Private Limited, Bangalore., Designed By Mokobara', 'Packer :', 'Mokobara Lifestyle Private Limited, Bangalore.', 'Importer :', 'Mokobara Lifestyle Private Limited, Bangalore. Customer Care: Email : hello@mokobara.com Contact no. 7975298840 (10:30AM - 5:30PM MON-FRI)', 'Item Weight :', '1 kg 560 g', 'Item Dimensions LxWxH :', '16 x 31 x 48 Centimeters', 'Net Quantity :', '1.00 count', 'Generic Name :', 'Backpack', 'Best Sellers Rank:', 'Customer Reviews:']","Designed By Mokobara Lifestyle Private Limited, Bangalore."
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjk0MTgzNjI4MDExNTk2OjE2ODUwMjI2NjM6c3BfYXRmOjIwMTE3Nzk1ODc0MTk4OjowOjo&url=%2FMOKOBARA-Backpack-Leather-Resistant-College%2Fdp%2FB0BR7QR4CF%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685022663%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1%26smid%3DA2ZJIE4OXD710M,"['Care Instructions: Wipe with Damp Cloth', 'CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Vegan leather and nylon fabric, Casing: Soft, Colour: Blue, Water resistant: Yes', 'PADDED LAPTOP COMPARTMENT AND MAXED OUT STORAGE: Dimension: 29 x 14 x 40 cm, Capacity: 16L, Fits up to a 15.4� laptop', 'MOST FEATURE RICH BACKPACK: Vegan leather trims, Padded shoulder straps, Easy length adjustment buckle & strap lock, Hidden expandable side water bottle pocket, Luggage sleeve.', 'HIDDEN MAGNETIC POCKET: Snaps close and stores your phone/passport for quick access', 'MORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Register warranty on (mokobara.com/warranty), get in touch with us @7975298840 (10:30AM - 5:30PM MON-FRI)']",B0BR7QR4CF,"['Product Dimensions :', '14 x 29 x 40 cm; 800 Grams', 'Date First Available :', '28 December 2022', 'Manufacturer :', 'Designed By Mokobara Lifestyle Private Limited', 'ASIN :', 'B0BR7QR4CF', 'Item model number :', 'TSBPK12CDD22001', 'Country of Origin :', 'China', 'Department :', 'unisex-adult', 'Manufacturer :', 'Designed By Mokobara Lifestyle Private Limited, Mokobara Lifestyle Private Limited, Bangalore. Customer Care: Email : hello@mokobara.com Contact no. 7975298840 (10:30AM - 5:30PM MON-FRI)', 'Packer :', 'Mokobara', 'Importer :', 'Mokobara Lifestyle Private Limited, Bangalore', 'Item Weight :', '800 g', 'Item Dimensions LxWxH :', '14 x 29 x 40 Centimeters', 'Net Quantity :', '1.00 count', 'Generic Name :', 'The Backpack - Deep Dive', 'Best Sellers Rank:', 'Customer Reviews:']",Designed By Mokobara Lifestyle Private Limited
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1685022663&sprefix=ba%2Caps%2C283&sr=8-3,[],B0BR7QR4CF,[],Designed By Mokobara Lifestyle Private Limited
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1685022663&sprefix=ba%2Caps%2C283&sr=8-4,[],B0BR7QR4CF,[],Designed By Mokobara Lifestyle Private Limited
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1685022663&sprefix=ba%2Caps%2C283&sr=8-5,"['Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,', 'Water Resistance Level: Not Water Resistant', 'Size: 35 x 13 x 46 cms']",B08Z1HHHTD,"['Product Dimensions :', '10.01 x 19.99 x 11.99 cm; 390 Grams', 'Date First Available :', '15 March 2021', 'Manufacturer :', 'VIP Industries Ltd', 'ASIN :', 'B08Z1HHHTD', 'Manufacturer :', 'VIP Industries Ltd', 'Item Weight :', '390 g', 'Item Dimensions LxWxH :', '10 x 20 x 12 Centimeters', 'Best Sellers Rank:', 'Customer Reviews:']",VIP Industries Ltd
https://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWG91Q3/ref=sxin_15_trfob_0_B08WWG91Q3?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08WWG91Q3&pd_rd_r=08470a19-579c-41ab-a6d6-f7153be0c6f1&pd_rd_w=6XyqU&pd_rd_wg=s64hj&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=KZBF31YX9C8K07768309&qid=1685022663&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-cc7a04fe-cc55-42ad-b883-1b910070c86a,[],B08Z1HHHTD,[],VIP Industries Ltd
https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB42QFQ/ref=sxin_15_trfob_1_B09SB42QFQ?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB42QFQ&pd_rd_r=08470a19-579c-41ab-a6d6-f7153be0c6f1&pd_rd_w=6XyqU&pd_rd_wg=s64hj&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=KZBF31YX9C8K07768309&qid=1685022663&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-2-cc7a04fe-cc55-42ad-b883-1b910070c86a,[],B09SB42QFQ,[],VIP Industries Ltd
https://www.amazon.in/Backpack-Toddler-Animal-Cartoon-Travel/dp/B09H3H3898/ref=sxin_15_trfob_2_B09H3H3898?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09H3H3898&pd_rd_r=08470a19-579c-41ab-a6d6-f7153be0c6f1&pd_rd_w=6XyqU&pd_rd_wg=s64hj&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=KZBF31YX9C8K07768309&qid=1685022663&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-3-cc7a04fe-cc55-42ad-b883-1b910070c86a,[],B09SB42QFQ,[],VIP Industries Ltd
https://www.amazon.in/Blue-Tree-Velvet-Nursery-Travelling/dp/B07XJHP2C7/ref=sxin_15_trfob_3_B07XJHP2C7?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07XJHP2C7&pd_rd_r=08470a19-579c-41ab-a6d6-f7153be0c6f1&pd_rd_w=6XyqU&pd_rd_wg=s64hj&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=KZBF31YX9C8K07768309&qid=1685022663&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-4-cc7a04fe-cc55-42ad-b883-1b910070c86a,[],B09SB42QFQ,[],VIP Industries Ltd
https://www.amazon.in/Amazon-Brand-Canvas-printed-stylish/dp/B0BX3PW42J/ref=sxin_15_trfob_4_B0BX3PW42J?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0BX3PW42J&pd_rd_r=08470a19-579c-41ab-a6d6-f7153be0c6f1&pd_rd_w=6XyqU&pd_rd_wg=s64hj&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=KZBF31YX9C8K07768309&qid=1685022663&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-5-cc7a04fe-cc55-42ad-b883-1b910070c86a,"['Printed Canvas tote bag for Women', 'Outer material: canvas, inner material: Satin', 'Size- 15x16 inches', 'Strap type: double handle, closure type: Zipper', '1 big compartmnet with 1 inner pocket']",B0BX3PW42J,"['Product Dimensions :', '38 x 12 x 40 cm; 260 Grams', 'Date First Available :', '28 February 2023', 'Manufacturer :', 'Amazon Brand - Umi', 'ASIN :', 'B0BX3PW42J', 'Item model number :', 'UMITOTE00009', 'Country of Origin :', 'India', 'Department :', 'Womens', 'Manufacturer :', 'Amazon Brand - Umi', 'Item Weight :', '260 g', 'Item Dimensions LxWxH :', '38 x 12 x 40 Centimeters', 'Net Quantity :', '1.00 count', 'Included Components :', 'tote bag', 'Generic Name :', 'Tote Bag', 'Best Sellers Rank:', 'Customer Reviews:']",Amazon Brand - Umi
https://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWTHLTF/ref=sxin_15_trfob_5_B08WWTHLTF?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08WWTHLTF&pd_rd_r=08470a19-579c-41ab-a6d6-f7153be0c6f1&pd_rd_w=6XyqU&pd_rd_wg=s64hj&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=KZBF31YX9C8K07768309&qid=1685022663&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-6-cc7a04fe-cc55-42ad-b883-1b910070c86a,[],B0BX3PW42J,[],Amazon Brand - Umi
https://www.amazon.in/AmazonBasics-Foldable-Travel-Duffel-27-inch/dp/B01J24HEE4/ref=sxin_15_trfob_6_B01J24HEE4?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B01J24HEE4&pd_rd_r=08470a19-579c-41ab-a6d6-f7153be0c6f1&pd_rd_w=6XyqU&pd_rd_wg=s64hj&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=KZBF31YX9C8K07768309&qid=1685022663&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-7-cc7a04fe-cc55-42ad-b883-1b910070c86a,"['100% Polyester', 'Travel duffel bag for use as primary luggage, sports gear, and more', 'Made of durable woven fabric for tear- and rip-resistant strength; high-quality zippers with pull cords', 'Multiple pockets for organizing; shoe pocket doubles as dirty-laundry compartment (water and odor resistant)', 'Super-lightweight and spacious; removable shoulder strap and 2 hand straps; folds into ultra-compact size', 'Measures 27 inches long by 11 inches wide by 15-1/2 inches high (without handles)', '1 year limited warranty']",B01J24HEE4,"['Product Dimensions :', '68.58 x 27.94 x 39.37 cm; 408.23 Grams', 'Date First Available :', '4 August 2017', 'Manufacturer :', 'Wanxinda Guangzhou Technology Product Co. Ltd', 'ASIN :', 'B01J24HEE4', 'Item model number :', 'ZH1603218R1', 'Country of Origin :', 'China', 'Manufacturer :', 'Wanxinda Guangzhou Technology Product Co. Ltd, Wanxinda Guangzhou Technology Product Co. Ltd, CT Lingxi Rd, Automobile Zone, Huadu district, Guangzhou, ChinaHuadu, Guangzhou', 'Importer :', '8th, 1, Metro Tower, Ho Chi Minh Sarani, Kolkatta, West Bengal, 700071', 'Item Weight :', '408 g', 'Item Dimensions LxWxH :', '68.6 x 27.9 x 39.4 Centimeters', 'Best Sellers Rank:', 'Customer Reviews:']",Wanxinda Guangzhou Technology Product Co. Ltd
https://www.amazon.in/Blue-Tree-Backpack-Cartoon-Spiderman/dp/B08YP5HQVP/ref=sxin_15_trfob_7_B08YP5HQVP?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08YP5HQVP&pd_rd_r=08470a19-579c-41ab-a6d6-f7153be0c6f1&pd_rd_w=6XyqU&pd_rd_wg=s64hj&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=KZBF31YX9C8K07768309&qid=1685022663&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-8-cc7a04fe-cc55-42ad-b883-1b910070c86a,[],B01J24HEE4,[],Wanxinda Guangzhou Technology Product Co. Ltd
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1685022663&sprefix=ba%2Caps%2C283&sr=8-6,"['Care Instructions: Hand Wash Only', 'Well Organized compartment ,Security Back Pocket']",B0BTD4FK9G,"['Product Dimensions :', '20 x 32.5 x 47.5 cm; 510 Grams', 'Date First Available :', '30 January 2023', 'Manufacturer :', 'EXPERTS', 'ASIN :', 'B0BTD4FK9G', 'Item model number :', 'LT9 (0) 01 002', 'Country of Origin :', 'China', 'Department :', 'mens', 'Manufacturer :', 'EXPERTS, China', 'Packer :', 'China', 'Importer :', 'Importer Name ltd., Street No. 24/4, New Delhi, India - 110011, Contact: +91-111-000-2400, service@importer.com', 'Item Weight :', '510 g', 'Item Dimensions LxWxH :', '20 x 32.5 x 47.5 Centimeters', 'Generic Name :', 'BACKPACK', 'Best Sellers Rank:', 'Customer Reviews:']",EXPERTS
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1685022663&sprefix=ba%2Caps%2C283&sr=8-7,"['Material: Water Resistant Light-Weight Polyester<br>', 'Compartments: 2 with padding; Laptop Size: 15.6 inch and below<br>', 'Dimensions: LxWxH - 12.5 x 7.5 x 19 inches<br>', 'Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders<br>', 'Closure Type: Zipper<br>']",B09TPX22NF,"['Product Dimensions :', '32 x 20 x 47 cm; 530 Grams', 'Date First Available :', '1 March 2022', 'Manufacturer :', 'ADISA', 'ASIN :', 'B09TPX22NF', 'Item model number :', 'BP041', 'Country of Origin :', 'India', 'Department :', 'Men', 'Manufacturer :', 'ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com', 'Packer :', 'ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com', 'Item Weight :', '530 g', 'Item Dimensions LxWxH :', '32 x 20 x 47 Centimeters', 'Net Quantity :', '1.00 count', 'Included Components :', 'Laptop backpack only', 'Generic Name :', 'Laptop backpack', 'Best Sellers Rank:', 'Customer Reviews:']",ADISA
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1685022663&sprefix=ba%2Caps%2C283&sr=8-8,"['Care Instructions: Wipe with Damp Cloth', 'Number Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock. This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space. The number lock sequence can be changed and customised by your directly.<br>', 'USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.<br>', 'Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.<br>', 'Dimension: 42 CM (L) x 30 CM (W) x 18 CM (D). Storage Capacity: 25L. Weight: 600 Grams; Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects<br>', 'Closure Type: Zipper; Lining Description: Polyester; Age Range Description: Adult<br>']",B09VTCNN75,"['Product Dimensions :', '30 x 18 x 42 cm; 700 Grams', 'Date First Available :', '17 March 2022', 'Manufacturer :', 'FUR JADEN', 'ASIN :', 'B09VTCNN75', 'Item model number :', 'BM83', 'Country of Origin :', 'India', 'Department :', 'unisex-adult', 'Manufacturer :', 'FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002', 'Packer :', 'Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002', 'Item Weight :', '700 g', 'Item Dimensions LxWxH :', '30 x 18 x 42 Centimeters', 'Net Quantity :', '1.00 Unit', 'Generic Name :', 'Anti Theft Laptop Backpack', 'Best Sellers Rank:', 'Customer Reviews:']",FUR JADEN
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1685022663&sprefix=ba%2Caps%2C283&sr=8-9,"['Outer Material: Polyester, Color: Sea Blue', 'Not water resistant. With Rain Cover:No', 'Capacity: 15 liters; Weight: 200 grams; Dimensions: 12 cms x 27 cms x 41 cms (LxWxH)', 'Number of compartments: 2; Laptop Compatibility: No', 'Age Range Description: Kid; Closure Type: Drawstring; Pocket Description: Utility Pocket', 'Drawstring, 2 Compartments, Compact Size']",B07Q7CNPMV,"['Product Dimensions :', '32 x 29.5 x 47 cm; 490 Grams', 'Date First Available :', '27 March 2019', 'Manufacturer :', 'Safari Industries (India) Ltd', 'ASIN :', 'B07Q7CNPMV', 'Item model number :', 'DAYPACKNEO15CBSEB', 'Country of Origin :', 'China', 'Department :', 'unisex-adult', 'Manufacturer :', 'Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838', 'Packer :', 'Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838', 'Importer :', 'Imported and Marketed by Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838', 'Item Weight :', '490 g', 'Item Dimensions LxWxH :', '32 x 29.5 x 47 Centimeters', 'Net Quantity :', '1 Count', 'Included Components :', 'SAFARI 15 Ltrs Sea Blue Casual Backpack (DAYPACKNEO15CBSEB)', 'Generic Name :', 'Backpack', 'Best Sellers Rank:', 'Customer Reviews:']",Safari Industries (India) Ltd
https://www.amazon.in/Americanan-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1685022663&sprefix=ba%2Caps%2C283&sr=8-10,"['Care Instructions: Hand Wash Only', 'Well Organized compartment ,Security Back Pocket']",B0BTD4S4XF,"['Product Dimensions :', '20 x 32.5 x 47.5 cm; 510 Grams', 'Date First Available :', '30 January 2023', 'Manufacturer :', 'EXPERTS', 'ASIN :', 'B0BTD4S4XF', 'Item model number :', 'LT9 (0) 09 002', 'Country of Origin :', 'China', 'Department :', 'mens', 'Manufacturer :', 'EXPERTS, China', 'Packer :', 'China', 'Importer :', 'Importer Name ltd., Street No. 24/4, New Delhi, India - 110011, Contact: +91-111-000-2400, service@importer.com', 'Item Weight :', '510 g', 'Item Dimensions LxWxH :', '20 x 32.5 x 47.5 Centimeters', 'Generic Name :', 'BACKPACK', 'Best Sellers Rank:', 'Customer Reviews:']",EXPERTS
